source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[batch identifier]	factor value[organism part]
PXD000865-Sample-14	Homo sapiens	Adrenal gland	Adrenal gland	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Adrenal gland	proteomic profiling by mass spectrometry	PXD000865	00645_D05_P004894_B0L_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00645_D05_P004894_B0L_A00_R1.raw	1	11	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Adrenal gland
PXD000865-Sample-14	Homo sapiens	Adrenal gland	Adrenal gland	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Adrenal gland	proteomic profiling by mass spectrometry	PXD000865	00645_D06_P004894_B0T_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00645_D06_P004894_B0T_A00_R1.raw	1	12	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Adrenal gland
PXD000865-Sample-14	Homo sapiens	Adrenal gland	Adrenal gland	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Adrenal gland	proteomic profiling by mass spectrometry	PXD000865	00645_E04_P004894_B0E_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00645_E04_P004894_B0E_A00_R1.raw	1	13	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Adrenal gland
PXD000865-Sample-14	Homo sapiens	Adrenal gland	Adrenal gland	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Adrenal gland	proteomic profiling by mass spectrometry	PXD000865	00645_E05_P004894_B0M_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00645_E05_P004894_B0M_A00_R1.raw	1	14	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Adrenal gland
PXD000865-Sample-14	Homo sapiens	Adrenal gland	Adrenal gland	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Adrenal gland	proteomic profiling by mass spectrometry	PXD000865	00645_E06_P004894_B0U_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00645_E06_P004894_B0U_A00_R1.raw	1	15	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Adrenal gland
PXD000865-Sample-14	Homo sapiens	Adrenal gland	Adrenal gland	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Adrenal gland	proteomic profiling by mass spectrometry	PXD000865	00645_F04_P004894_B0F_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00645_F04_P004894_B0F_A00_R1.raw	1	16	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Adrenal gland
PXD000865-Sample-14	Homo sapiens	Adrenal gland	Adrenal gland	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Adrenal gland	proteomic profiling by mass spectrometry	PXD000865	00645_F05_P004894_B0N_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00645_F05_P004894_B0N_A00_R1.raw	1	17	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Adrenal gland
PXD000865-Sample-14	Homo sapiens	Adrenal gland	Adrenal gland	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Adrenal gland	proteomic profiling by mass spectrometry	PXD000865	00645_F06_P004894_B0V_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00645_F06_P004894_B0V_A00_R1.raw	1	18	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Adrenal gland
PXD000865-Sample-14	Homo sapiens	Adrenal gland	Adrenal gland	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Adrenal gland	proteomic profiling by mass spectrometry	PXD000865	00645_G04_P004894_B0G_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00645_G04_P004894_B0G_A00_R1.raw	1	19	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Adrenal gland
PXD000865-Sample-14	Homo sapiens	Adrenal gland	Adrenal gland	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Adrenal gland	proteomic profiling by mass spectrometry	PXD000865	00645_G05_P004894_B0O_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00645_G05_P004894_B0O_A00_R1.raw	1	20	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Adrenal gland
PXD000865-Sample-14	Homo sapiens	Adrenal gland	Adrenal gland	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Adrenal gland	proteomic profiling by mass spectrometry	PXD000865	00645_G06_P004894_B0W_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00645_G06_P004894_B0W_A00_R1.raw	1	21	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Adrenal gland
PXD000865-Sample-14	Homo sapiens	Adrenal gland	Adrenal gland	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Adrenal gland	proteomic profiling by mass spectrometry	PXD000865	00645_H04_P004894_B0H_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00645_H04_P004894_B0H_A00_R1.raw	1	22	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Adrenal gland
PXD000865-Sample-14	Homo sapiens	Adrenal gland	Adrenal gland	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Adrenal gland	proteomic profiling by mass spectrometry	PXD000865	00645_H05_P004894_B0P_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00645_H05_P004894_B0P_A00_R1.raw	1	23	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Adrenal gland
PXD000865-Sample-14	Homo sapiens	Adrenal gland	Adrenal gland	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Adrenal gland	proteomic profiling by mass spectrometry	PXD000865	00645_H06_P004894_B0X_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00645_H06_P004894_B0X_A00_R1.raw	1	24	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Adrenal gland
PXD000865-Sample-31	Homo sapiens	Ascites	Ascites	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Ascites	proteomic profiling by mass spectrometry	PXD000865	00691_A01_P005153_B0A_A001_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00691_A01_P005153_B0A_A001_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Ascites
PXD000865-Sample-31	Homo sapiens	Ascites	Ascites	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Ascites	proteomic profiling by mass spectrometry	PXD000865	00691_B01_P005153_B0B_A001_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00691_B01_P005153_B0B_A001_R1.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Ascites
PXD000865-Sample-31	Homo sapiens	Ascites	Ascites	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Ascites	proteomic profiling by mass spectrometry	PXD000865	00691_C01_P005153_B0C_A001_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00691_C01_P005153_B0C_A001_R1.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Ascites
PXD000865-Sample-31	Homo sapiens	Ascites	Ascites	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Ascites	proteomic profiling by mass spectrometry	PXD000865	00691_D01_P005153_B0D_A001_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00691_D01_P005153_B0D_A001_R1.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Ascites
PXD000865-Sample-31	Homo sapiens	Ascites	Ascites	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Ascites	proteomic profiling by mass spectrometry	PXD000865	00691_E01_P005153_B0E_A001_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00691_E01_P005153_B0E_A001_R1.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Ascites
PXD000865-Sample-31	Homo sapiens	Ascites	Ascites	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	Ascites	proteomic profiling by mass spectrometry	PXD000865	00691_F01_P005153_B0F_A001_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00691_F01_P005153_B0F_A001_R1.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=HCD;AC=PRIDE:0000590	30% NCE	20 ppm	0.05 Da	1	Ascites
