source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[MS2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[batch identifier]	factor value[developmental stage]	factor value[organism part]
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f12.raw	NT=high pH RPLC;AC=PRIDE:0000564	12	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f13.raw	NT=high pH RPLC;AC=PRIDE:0000564	13	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f14.raw	NT=high pH RPLC;AC=PRIDE:0000564	14	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f15.raw	NT=high pH RPLC;AC=PRIDE:0000564	15	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f16.raw	NT=high pH RPLC;AC=PRIDE:0000564	16	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f17.raw	NT=high pH RPLC;AC=PRIDE:0000564	17	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f18.raw	NT=high pH RPLC;AC=PRIDE:0000564	18	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f19.raw	NT=high pH RPLC;AC=PRIDE:0000564	19	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f20.raw	NT=high pH RPLC;AC=PRIDE:0000564	20	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f21.raw	NT=high pH RPLC;AC=PRIDE:0000564	21	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f22.raw	NT=high pH RPLC;AC=PRIDE:0000564	22	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f23.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f23.raw	NT=high pH RPLC;AC=PRIDE:0000564	23	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f24.raw	NT=high pH RPLC;AC=PRIDE:0000564	24	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f25.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f25.raw	NT=high pH RPLC;AC=PRIDE:0000564	25	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f26.raw	NT=high pH RPLC;AC=PRIDE:0000564	26	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
